title,imgpath,salesprice
"Apple iPhone 11 (64 GB, Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/82a80b4d-1f77-4e7d-934a-c12eb5795ede.jpg,40900
"Apple iPhone 11 (64 GB, (Product) Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/91c21e3f-c0d9-417f-9c58-9c1bfd77af63.jpg,40900
"Apple iPhone 12 (64 GB, Purple)",https://d2xamzlzrdbdbn.cloudfront.net/products/2a44f326-9f2b-48a2-8bcf-f06486ad9602.jpg,54600
"Apple iPhone 11 (128 GB Storage, Yellow)",https://d2xamzlzrdbdbn.cloudfront.net/products/d92ffc8e-cbf1-47c5-a763-ec628889dbda21011313.jpg,48900
"Apple iPhone 14 Pro Max (256 GB, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/3ec5a4d7-4396-48e3-9c0e-f333e8b9b34322090633.jpg,148900
"Apple iPhone 12 (64 GB, Black)",https://d2xamzlzrdbdbn.cloudfront.net/products/f63ea45d-744b-4d05-9d48-eee9143ebf48.jpg,54600
"Apple iPhone 13 (128 GB Storage, (Product) Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/72118288-6495-4a00-963a-31c08679180621170551.jpg,62900
"Apple iPhone 12 (128 GB, Black)",https://d2xamzlzrdbdbn.cloudfront.net/products/7b3d514b-a469-469b-8c0e-4bf5140438cb.jpg,57800
"Apple iPhone 14 Plus (128 GB, Yellow)",https://d2xamzlzrdbdbn.cloudfront.net/products/692fa239-be8f-4df8-8e09-5acb2bf4d12e23101143.jpg,81700
"Apple iPhone 14 (128 GB, Yellow)",https://d2xamzlzrdbdbn.cloudfront.net/products/72888537-89f1-4e05-b3be-9a69021c583c23101255.jpg,71900
"Apple iPhone SE 3rd Gen (64 GB Storage, (Product)Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/13bcf2d1-4a87-46c8-a334-033eec5afd9122111215.jpg,41700
"Apple iPhone 13 Pro (256 GB Storage, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/f697df2f-ff51-4e22-9ecc-99f2a9fae1df21170623.jpg,120900
"Apple iPhone 14 Plus (128 GB, (Product)Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/9724fab6-d654-48a7-ba2c-be1a66d0949322090611.jpg,80700
"Apple iPhone SE 3rd Gen (64 GB Storage, Midnight)",https://d2xamzlzrdbdbn.cloudfront.net/products/f6b4185e-871c-4379-a945-f801197ec1fc22111145.jpg,41700
"Apple iPhone SE 3rd Gen (128GB Storage, Starlight)",https://d2xamzlzrdbdbn.cloudfront.net/products/0cb582b8-9501-49ca-ba35-c6d3c230164722111229.jpg,46500
"Apple iPhone 14 Plus (256 GB, Starlight)",https://d2xamzlzrdbdbn.cloudfront.net/products/580fb721-2d74-4914-9d0b-429a5e6031be22090540.jpg,91900
"Apple iPhone 13 Mini (128 GB Storage, Starlight)",https://d2xamzlzrdbdbn.cloudfront.net/products/a84d98fc-a800-46d7-b84a-e339e4fbc5c621170532.jpg,64900
"Apple iPhone 14 (256 GB, Yellow)",https://d2xamzlzrdbdbn.cloudfront.net/products/43732b37-abae-4767-902b-a22304faebc323101129.jpg,83490
"Apple iPhone 13 Pro (128 GB Storage, Graphite)",https://d2xamzlzrdbdbn.cloudfront.net/products/bbb576ed-243d-4a03-b4ed-991f6c13deb321170616.jpg,106900
"Apple iPhone 13 (256 GB Storage, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/5370a373-8bfc-4308-b0aa-0ebaea0c326621170559.jpg,73900
"Apple iPhone 13 Pro (128 GB Storage, Sierra Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/a6cd4796-dd47-41ad-99ec-7849621ce45e21170616.jpg,106900
"Apple iPhone 13 (256 GB, Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/919a458c-1af4-4ce7-a572-55d3c696c3a622111207.jpg,73900
"Apple iPhone 13 Mini (256 GB Storage, Midnight)",https://d2xamzlzrdbdbn.cloudfront.net/products/0263fdf5-105c-4e86-8245-55c8ac34c83321170537.jpg,74900
"Apple iPhone 14 (128 GB, (Product)Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/13933947-12ac-4a86-8b46-c04a9831dd0a22090511.jpg,71900
